Order ID,Amount,Timestamp,Customer ID,Profile Type
ORD-1000,1113.39,2025-03-02T03:58:19.359Z,CUST-60,honest
ORD-1001,9071.15,2025-10-24T03:58:19.361Z,CUST-216,honest
ORD-1002,80.94,2025-12-05T03:58:19.361Z,CUST-464,honest
ORD-1003,13.02,2025-05-11T03:58:19.361Z,CUST-366,honest
ORD-1004,1676.59,2025-07-15T03:58:19.361Z,CUST-186,honest
ORD-1005,53.74,2025-07-21T03:58:19.361Z,CUST-53,honest
ORD-1006,40.42,2025-05-14T03:58:19.361Z,CUST-390,honest
ORD-1007,245.33,2025-03-29T03:58:19.361Z,CUST-187,honest
ORD-1008,282.01,2025-01-20T03:58:19.361Z,CUST-161,honest
ORD-1009,74.94,2025-12-16T03:58:19.361Z,CUST-292,honest
ORD-1010,288.88,2025-12-09T03:58:19.361Z,CUST-71,honest
ORD-1011,4481.11,2025-10-06T03:58:19.361Z,CUST-120,honest
ORD-1012,51.14,2025-06-07T03:58:19.361Z,CUST-424,honest
ORD-1013,110.17,2025-03-25T03:58:19.361Z,CUST-15,honest
ORD-1014,23.75,2025-06-28T03:58:19.361Z,CUST-134,honest
ORD-1015,275.97,2025-07-11T03:58:19.361Z,CUST-90,honest
ORD-1016,788.14,2025-03-14T03:58:19.361Z,CUST-62,honest
ORD-1017,76.83,2025-03-06T03:58:19.361Z,CUST-103,honest
ORD-1018,5746.01,2025-04-28T03:58:19.361Z,CUST-498,honest
ORD-1019,100.9,2025-03-16T03:58:19.361Z,CUST-495,honest
ORD-1020,14.23,2025-03-07T03:58:19.362Z,CUST-54,honest
ORD-1021,365.98,2025-03-12T03:58:19.362Z,CUST-3,honest
ORD-1022,4124.05,2025-02-20T03:58:19.362Z,CUST-27,honest
ORD-1023,17.77,2025-08-19T03:58:19.362Z,CUST-132,honest
ORD-1024,9450.13,2025-05-08T03:58:19.362Z,CUST-211,honest
ORD-1025,90.16,2025-10-04T03:58:19.362Z,CUST-369,honest
ORD-1026,19.13,2025-11-23T03:58:19.362Z,CUST-113,honest
ORD-1027,39.89,2025-05-06T03:58:19.362Z,CUST-337,honest
ORD-1028,25.13,2025-08-11T03:58:19.362Z,CUST-220,honest
ORD-1029,78.98,2025-05-05T03:58:19.362Z,CUST-136,honest
ORD-1030,16.83,2025-04-13T03:58:19.362Z,CUST-325,honest
ORD-1031,611.52,2025-07-14T03:58:19.362Z,CUST-133,honest
ORD-1032,6969.4,2025-04-24T03:58:19.362Z,CUST-37,honest
ORD-1033,177.1,2025-07-18T03:58:19.362Z,CUST-52,honest
ORD-1034,190.03,2025-06-13T03:58:19.362Z,CUST-253,honest
ORD-1035,1207.44,2025-12-03T03:58:19.362Z,CUST-146,honest
ORD-1036,5972.56,2025-08-30T03:58:19.362Z,CUST-317,honest
ORD-1037,92.76,2025-11-15T03:58:19.362Z,CUST-318,honest
ORD-1038,138.1,2025-04-28T03:58:19.362Z,CUST-353,honest
ORD-1039,20.79,2025-10-18T03:58:19.362Z,CUST-229,honest
ORD-1040,12.7,2025-07-18T03:58:19.362Z,CUST-456,honest
ORD-1041,817.73,2025-09-10T03:58:19.362Z,CUST-148,honest
ORD-1042,5025.9,2025-12-03T03:58:19.362Z,CUST-233,honest
ORD-1043,205.02,2025-03-24T03:58:19.362Z,CUST-251,honest
ORD-1044,82.6,2025-03-28T03:58:19.362Z,CUST-440,honest
ORD-1045,1715.58,2025-04-08T03:58:19.362Z,CUST-358,honest
ORD-1046,40.12,2025-08-13T03:58:19.362Z,CUST-5,honest
ORD-1047,26.35,2025-04-24T03:58:19.362Z,CUST-356,honest
ORD-1048,34.53,2025-12-13T03:58:19.362Z,CUST-274,honest
ORD-1049,73.95,2025-06-11T03:58:19.362Z,CUST-278,honest
ORD-1050,993.18,2025-09-23T03:58:19.362Z,CUST-41,honest
ORD-1051,224.89,2025-03-31T03:58:19.362Z,CUST-222,honest
ORD-1052,58.74,2025-09-28T03:58:19.362Z,CUST-486,honest
ORD-1053,6471.96,2025-11-28T03:58:19.362Z,CUST-436,honest
ORD-1054,13.04,2025-06-23T03:58:19.362Z,CUST-175,honest
ORD-1055,2365.96,2025-02-25T03:58:19.362Z,CUST-155,honest
ORD-1056,2349.46,2025-10-16T03:58:19.362Z,CUST-137,honest
ORD-1057,41.84,2025-12-19T03:58:19.362Z,CUST-366,honest
ORD-1058,248.13,2025-05-26T03:58:19.362Z,CUST-59,honest
ORD-1059,1705.86,2025-04-08T03:58:19.362Z,CUST-162,honest
ORD-1060,3815.81,2025-11-06T03:58:19.362Z,CUST-366,honest
ORD-1061,17.97,2025-06-15T03:58:19.362Z,CUST-35,honest
ORD-1062,1602.45,2025-01-10T03:58:19.362Z,CUST-481,honest
ORD-1063,40.56,2025-10-07T03:58:19.362Z,CUST-79,honest
ORD-1064,2525.66,2025-10-10T03:58:19.362Z,CUST-182,honest
ORD-1065,197.08,2025-05-22T03:58:19.362Z,CUST-163,honest
ORD-1066,661.43,2025-06-04T03:58:19.362Z,CUST-80,honest
ORD-1067,259.97,2025-10-24T03:58:19.362Z,CUST-334,honest
ORD-1068,974.12,2025-04-14T03:58:19.362Z,CUST-229,honest
ORD-1069,1241.96,2025-06-17T03:58:19.362Z,CUST-279,honest
ORD-1070,39.49,2025-06-02T03:58:19.362Z,CUST-310,honest
ORD-1071,282.92,2026-01-08T03:58:19.362Z,CUST-419,honest
ORD-1072,89.81,2025-07-02T03:58:19.362Z,CUST-106,honest
ORD-1073,15.23,2025-11-24T03:58:19.362Z,CUST-258,honest
ORD-1074,109.27,2025-11-15T03:58:19.362Z,CUST-361,honest
ORD-1075,16.94,2025-12-28T03:58:19.362Z,CUST-50,honest
ORD-1076,9125.4,2025-10-06T03:58:19.362Z,CUST-141,honest
ORD-1077,49.23,2025-10-20T03:58:19.362Z,CUST-54,honest
ORD-1078,3625.48,2025-10-20T03:58:19.362Z,CUST-343,honest
ORD-1079,59.71,2025-11-24T03:58:19.362Z,CUST-50,honest
ORD-1080,364.3,2025-01-27T03:58:19.362Z,CUST-427,honest
ORD-1081,114.32,2025-07-06T03:58:19.362Z,CUST-223,honest
ORD-1082,8039.55,2025-02-17T03:58:19.362Z,CUST-198,honest
ORD-1083,1331.04,2025-07-03T03:58:19.362Z,CUST-72,honest
ORD-1084,95.74,2025-12-09T03:58:19.362Z,CUST-366,honest
ORD-1085,23.47,2025-10-23T03:58:19.362Z,CUST-107,honest
ORD-1086,7495.39,2025-05-01T03:58:19.362Z,CUST-7,honest
ORD-1087,32.25,2025-02-21T03:58:19.362Z,CUST-41,honest
ORD-1088,18.31,2025-04-25T03:58:19.362Z,CUST-135,honest
ORD-1089,72.45,2025-12-25T03:58:19.362Z,CUST-277,honest
ORD-1090,6289.92,2025-05-31T03:58:19.362Z,CUST-470,honest
ORD-1091,597.68,2025-01-10T03:58:19.362Z,CUST-212,honest
ORD-1092,9876.89,2025-05-26T03:58:19.362Z,CUST-395,honest
ORD-1093,1734.07,2025-03-02T03:58:19.362Z,CUST-139,honest
ORD-1094,10.54,2025-05-15T03:58:19.362Z,CUST-166,honest
ORD-1095,71.79,2025-10-15T03:58:19.362Z,CUST-85,honest
ORD-1096,10.92,2025-03-28T03:58:19.362Z,CUST-308,honest
ORD-1097,53.79,2025-12-22T03:58:19.362Z,CUST-463,honest
ORD-1098,13.58,2025-10-30T03:58:19.362Z,CUST-447,honest
ORD-1099,60.97,2025-08-03T03:58:19.362Z,CUST-226,honest
ORD-1100,54.88,2025-04-30T03:58:19.362Z,CUST-231,honest
ORD-1101,73.08,2025-04-05T03:58:19.362Z,CUST-1,honest
ORD-1102,3710.2,2026-01-06T03:58:19.362Z,CUST-483,honest
ORD-1103,5009.81,2025-05-04T03:58:19.362Z,CUST-125,honest
ORD-1104,1931.84,2025-03-07T03:58:19.362Z,CUST-139,honest
ORD-1105,14.7,2025-12-22T03:58:19.362Z,CUST-364,honest
ORD-1106,352.73,2025-10-13T03:58:19.362Z,CUST-375,honest
