Order ID,Amount,Timestamp,Customer ID,Profile Type
ORD-2000,22222,2025-08-13T03:58:19.369Z,CUST-1,fraud
ORD-2001,25000,2025-10-03T03:58:19.369Z,CUST-7,fraud
ORD-2002,20000,2025-07-19T03:58:19.369Z,CUST-2,fraud
ORD-2003,29999,2025-11-12T03:58:19.369Z,CUST-7,fraud
ORD-2004,29999,2025-10-22T03:58:19.369Z,CUST-3,fraud
ORD-2005,19999,2025-10-05T03:58:19.369Z,CUST-2,fraud
ORD-2006,5000,2025-11-20T03:58:19.369Z,CUST-5,fraud
ORD-2007,12345,2025-09-16T03:58:19.369Z,CUST-3,fraud
ORD-2008,12345,2025-12-06T03:58:19.369Z,CUST-3,fraud
ORD-2009,15000,2026-01-04T03:58:19.369Z,CUST-4,fraud
ORD-2010,5000,2025-08-08T03:58:19.369Z,CUST-7,fraud
ORD-2011,5000,2025-08-08T03:58:19.369Z,CUST-5,fraud
ORD-2012,2000,2025-08-02T03:58:19.369Z,CUST-1,fraud
ORD-2013,18000,2025-07-31T03:58:19.369Z,CUST-7,fraud
ORD-2014,18000,2025-07-21T03:58:19.369Z,CUST-8,fraud
ORD-2015,29999,2025-09-28T03:58:19.369Z,CUST-2,fraud
ORD-2016,10000,2025-08-01T03:58:19.369Z,CUST-6,fraud
ORD-2017,9999,2025-11-12T03:58:19.369Z,CUST-7,fraud
ORD-2018,11111,2025-10-31T03:58:19.369Z,CUST-6,fraud
ORD-2019,18000,2025-08-14T03:58:19.369Z,CUST-7,fraud
ORD-2020,5000,2026-01-03T03:58:19.369Z,CUST-3,fraud
ORD-2021,19999,2025-07-14T03:58:19.369Z,CUST-5,fraud
ORD-2022,19999,2025-09-25T03:58:19.369Z,CUST-8,fraud
ORD-2023,20000,2025-09-01T03:58:19.369Z,CUST-1,fraud
ORD-2024,33333,2025-09-30T03:58:19.369Z,CUST-8,fraud
ORD-2025,29999,2025-08-05T03:58:19.369Z,CUST-7,fraud
ORD-2026,15000,2025-12-29T03:58:19.369Z,CUST-3,fraud
ORD-2027,11111,2025-07-28T03:58:19.369Z,CUST-3,fraud
ORD-2028,12345,2025-10-31T03:58:19.369Z,CUST-1,fraud
ORD-2029,10000,2025-07-29T03:58:19.369Z,CUST-3,fraud
ORD-2030,29999,2025-08-21T03:58:19.369Z,CUST-5,fraud
ORD-2031,22222,2025-07-26T03:58:19.369Z,CUST-2,fraud
ORD-2032,18000,2025-07-30T03:58:19.369Z,CUST-8,fraud
ORD-2033,25000,2025-12-22T03:58:19.369Z,CUST-4,fraud
